"id";"name";"category";"location";"about";"timings";"budget";"activities";"hoursspending"
1;"Express Avenue Mall";"Shopping Area";"Royapettah, Chennai";"One of Chennai’s largest malls featuring fashion brands.";"10:00 AM – 10:00 PM";"1000-2000";"Shopping, Dining, Cinema, Entertainment, Family hangout";"3-5"
2;"VR Chennai Mall";"Shopping Area";"Anna Nagar West, Chennai";"Premium lifestyle destination with 240+ stores.";"10:00 AM – 10:00 PM";"1000-2000";"Shopping, Dining, Cinema , Events, Entertainment";"5-7"
3;"Phoenix Marketcity";"Shopping Area";"Velachery, Chennai";"High-end mall with 600+ international & Indian brands.";"10:00 AM – 10:00 PM";"3000+";"Shopping, Dining, Cinema, Events, Entertainment";"1-3"
4;"Aerohub Mall";"Shopping Area";"Meenambakkam, Chennai";"Airport-connected mall with retail shops, food outlets.";"10:00 AM – 11:00 PM";"700-900";"Shopping, Dining, Quick entertainment";"7-9"
5;"Nexus Vijaya Mall";"Shopping Area";"Vadapalani, Chennai";"Spacious mall with 100+ stores, PVR Palazzo multiplex.";"10:00 AM – 10:00 PM";"2000-3000";"Shopping, Dining, Cinema, Kids Entertainment";"3-5"
6;"The Marina Mall";"Shopping Area";"Egattur, Chennai";"Modern mall with 120+ stores, Timezone arcade, trampoline park, inflatable park, and food court.";"10:00 AM – 10:00 PM";"500-700";"Shopping, Dining, Cinema (INOX), Arcade, Trampoline Park";"9-11"
7;"City Centre Mall";"Shopping Area";"Purasawalkam, Chennai";"Popular shopping and entertainment hub with multiplex.";"9:00 AM – 8:30 PM";"3000+";"Shopping, Dining, Cinema, Kids play area";"3-5"
8;"Mayajaal Entertainment Complex";"Shopping Area";" Kanathur, Chennai";"Entertainment complex featuring Asia’s largest 16-screen multiplex.";"9:00 AM – 12:00 AM";"2000-3000";"Movies, Bowling, Indoor/Outdoor games, Arcade, Dining, Resort stay";"5-7"
9;"Kapaleeshwarar Temple";"House of Worship";"Mylapore, Chennai";"Ancient Dravidian-style temple dedicated to Lord Shiva, dating back to the 7th century; famous for its towering gopuram and vibrant festivals.";"5:30 AM – 12:00 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Festivals, Cultural visits";"1-3"
10;"Sri Parthasarathy Temple";"House of Worship";"Triplicane, Chennai";"Historic 8th-century temple dedicated to Lord Krishna (as Parthasarathy); built by Pallavas, known for intricate carvings and daily rituals.";"6:00 AM – 12:30 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Cultural exploration";"3-5"
11;"Marundeeswarar Temple";"House of Worship";"Thiruvanmiyur, Chennai";"Famous Shiva temple from Chola period; devotees believe prayers here cure ailments; notable for its large gopuram and inscriptions.";"5:00 AM – 12:00 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Cultural exploration";"1-3"
12;"Arulmigu Karaneeswarar Temple";"House of Worship";"Saidapet, Chennai";"Prominent temple dedicated to Lord Shiva, known for its tall gopuram, traditional rituals, and peaceful ambience amidst the city.";"6:00 AM – 11:30 AM, 5:00 PM – 9:00 PM";"100-300";"Worship, Rituals, Darshan";"3-5"
13;"Ashtalakshmi Temple";"House of Worship";"Besant Nagar, Chennai";"Modern temple by the seashore dedicated to Goddess Lakshmi in her 8 forms (Ashtalakshmi); known for unique multi-level structure.";"6:30 AM – 12:00 PM, 4:00 PM – 8:30 PM";"100-300";"Worship, Spiritual visits, Seaside view";"1-3"
